Image_Path,Next_Image_Path
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 012.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 013.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 013.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 014.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 014.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 015.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 015.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 016.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 016.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 017.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 017.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 018.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000020 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000021 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000022 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 012.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 013.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 013.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 014.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 014.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 015.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 015.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 016.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 016.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 017.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 017.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000023 018.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000024 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000025 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000026 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000027 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000028 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000029 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000030 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 011.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 011.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 012.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 012.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 013.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 013.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000031 014.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 012.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 013.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 013.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000032 014.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000033 006.jpeg
